b'Date,Open,High,Low,Close,Volume,Adj Close
2015-06-16,35.740002,35.740002,35.740002,35.740002,000,34.063398
2015-06-15,35.099998,35.740002,35.099998,35.740002,500,34.063398
2015-06-12,34.759998,34.759998,34.759998,34.759998,300,33.129368
2015-06-11,35.740002,35.740002,35.740002,35.740002,000,34.063398
2015-06-10,35.740002,35.740002,35.740002,35.740002,000,34.063398
2015-06-09,35.529999,35.740002,35.00,35.740002,1800,34.063398
2015-06-08,35.75,35.75,35.75,35.75,100,34.072927
2015-06-05,35.529999,35.529999,35.529999,35.529999,000,33.863247
2015-06-04,35.549999,35.549999,35.529999,35.529999,1100,33.863247
2015-06-03,35.599998,35.599998,35.599998,35.599998,000,33.929963
2015-06-02,35.599998,35.599998,35.599998,35.599998,000,33.929963
2015-06-01,35.599998,35.599998,35.599998,35.599998,000,33.929963
2015-05-29,35.75,35.75,35.599998,35.599998,900,33.929963
2015-05-28,35.66,35.66,35.599998,35.599998,1400,33.929963
2015-05-27,35.75,35.75,35.75,35.75,000,34.072927
2015-05-26,35.75,35.75,35.75,35.75,000,34.072927
2015-05-22,35.75,35.75,35.75,35.75,000,34.072927
2015-05-21,35.75,35.75,35.75,35.75,000,34.072927
2015-05-20,35.75,35.75,35.75,35.75,000,34.072927
2015-05-19,35.75,35.759998,35.75,35.75,400,34.072927
2015-05-18,35.75,35.75,35.75,35.75,300,34.072927
2015-05-15,35.740002,35.740002,35.740002,35.740002,000,34.063398
2015-05-14,35.75,35.75,35.740002,35.740002,800,34.063398
2015-05-13,35.75,35.75,35.75,35.75,000,34.072927
2015-05-12,35.75,35.75,35.75,35.75,100,34.072927
2015-05-11,36.50,36.50,36.50,36.50,000,34.787744
2015-05-08,36.50,36.50,36.50,36.50,000,34.787744
2015-05-07,36.990002,37.00,36.50,36.50,700,34.787744
2015-05-06,36.50,36.50,36.50,36.50,000,34.787744
2015-05-05,35.990002,36.50,35.990002,36.50,2400,34.787744
2015-05-04,35.490002,35.50,35.16,35.50,1700,33.834655
2015-05-01,35.490002,35.490002,35.490002,35.490002,100,33.825126
2015-04-30,35.200001,35.299999,35.200001,35.299999,700,33.644037
2015-04-29,34.77,34.77,34.77,34.77,000,33.138901
2015-04-28,35.00,35.00,34.77,34.77,700,33.138901
2015-04-27,34.709999,34.709999,34.709999,34.709999,000,33.081714
2015-04-24,34.709999,34.709999,34.709999,34.709999,000,33.081714
2015-04-23,34.709999,34.709999,34.709999,34.709999,200,33.081714
2015-04-22,34.849998,34.849998,34.849998,34.849998,000,33.215146
2015-04-21,34.75,34.849998,34.75,34.849998,300,33.215146
2015-04-20,34.900002,35.00,34.00,34.50,2800,32.881566
2015-04-17,34.75,34.75,34.75,34.75,200,33.119839
2015-04-16,34.900002,34.900002,34.900002,34.900002,000,33.262803
2015-04-15,34.900002,34.900002,34.900002,34.900002,000,33.262803
2015-04-14,34.900002,34.900002,34.900002,34.900002,000,32.938754
2015-04-13,34.50,34.950001,34.50,34.900002,1600,32.938754
2015-04-10,34.50,34.50,34.50,34.50,000,32.561231
2015-04-09,34.00,34.50,34.00,34.50,300,32.561231
2015-04-08,33.950001,34.00,33.950001,34.00,1200,32.089329
2015-04-07,33.970001,34.00,33.950001,33.950001,1100,32.042139
2015-04-06,33.900002,33.950001,33.900002,33.900002,2300,31.99495
2015-04-02,33.970001,33.970001,33.91,33.91,900,32.004386
2015-04-01,34.049999,34.049999,34.049999,34.049999,900,32.136518
2015-03-31,33.869999,34.00,33.869999,33.869999,800,31.966633
2015-03-30,34.00,34.299999,34.00,34.00,2900,32.089329
2015-03-27,34.68,34.68,34.099998,34.099998,5100,32.183708
2015-03-26,34.849998,34.849998,34.700001,34.700001,3900,32.749992
2015-03-25,35.00,35.049999,34.900002,34.900002,1300,32.938754
2015-03-24,35.00,35.00,34.900002,34.900002,7500,32.938754
2015-03-23,35.049999,35.400002,35.049999,35.400002,1000,33.410656
2015-03-20,34.970001,34.970001,34.970001,34.970001,300,33.00482
2015-03-19,34.970001,34.970001,34.970001,34.970001,200,33.00482
2015-03-18,34.68,34.98,34.68,34.950001,2500,32.985943
2015-03-17,34.599998,35.00,34.599998,35.00,2000,33.033133
2015-03-16,34.849998,34.849998,34.849998,34.849998,300,32.891561
2015-03-13,34.50,34.50,34.50,34.50,000,32.561231
2015-03-12,34.50,34.50,34.50,34.50,300,32.561231
2015-03-11,34.75,34.799999,34.50,34.50,2400,32.561231
2015-03-10,34.549999,34.549999,34.549999,34.549999,000,32.60842
2015-03-09,34.700001,34.700001,34.549999,34.549999,2900,32.60842
2015-03-06,34.75,34.75,34.75,34.75,000,32.797182
2015-03-05,34.75,34.75,34.75,34.75,000,32.797182
2015-03-04,34.75,34.75,34.75,34.75,000,32.797182
2015-03-03,34.75,34.75,34.75,34.75,000,32.797182
2015-03-02,34.779999,34.799999,34.75,34.75,700,32.797182
2015-02-27,34.75,34.75,34.75,34.75,000,32.797182
2015-02-26,34.75,34.75,34.75,34.75,000,32.797182
2015-02-25,34.799999,34.799999,34.599998,34.75,900,32.797182
2015-02-24,34.599998,34.599998,34.599998,34.599998,000,32.65561
2015-02-23,34.599998,34.599998,34.599998,34.599998,900,32.65561
2015-02-20,34.599998,34.599998,34.599998,34.599998,000,32.65561
2015-02-19,34.700001,34.700001,34.599998,34.599998,700,32.65561
2015-02-18,34.849998,34.950001,34.849998,34.950001,400,32.985943
2015-02-17,34.849998,34.849998,34.73,34.75,1400,32.797182
2015-02-13,35.00,35.00,35.00,35.00,1000,33.033133
2015-02-12,35.00,35.00,35.00,35.00,000,33.033133
2015-02-11,35.00,35.00,35.00,35.00,000,33.033133
2015-02-10,35.00,35.00,35.00,35.00,000,33.033133
2015-02-09,35.00,35.00,35.00,35.00,000,33.033133
2015-02-06,35.00,35.00,35.00,35.00,000,33.033133
2015-02-05,35.00,35.00,34.98,35.00,800,33.033133
2015-02-04,35.00,35.00,35.00,35.00,300,33.033133
2015-02-03,35.00,35.00,35.00,35.00,100,33.033133
2015-02-02,35.00,35.00,35.00,35.00,000,33.033133
2015-01-30,35.00,35.00,35.00,35.00,1900,33.033133
2015-01-29,34.700001,34.700001,34.700001,34.700001,000,32.749992
2015-01-28,34.700001,34.700001,34.700001,34.700001,000,32.749992
2015-01-27,34.700001,34.75,34.700001,34.700001,400,32.749992
2015-01-26,35.25,35.25,35.25,35.25,000,33.269083
2015-01-23,35.049999,35.25,35.00,35.25,1800,33.269083
2015-01-22,34.700001,35.25,34.700001,35.200001,2800,33.221894
2015-01-21,35.25,35.25,35.25,35.25,000,33.269083
2015-01-20,35.25,35.25,35.25,35.25,000,33.269083
2015-01-16,35.25,35.25,35.25,35.25,100,33.269083
2015-01-15,34.82,34.82,34.82,34.82,000,32.863248
2015-01-14,34.82,34.82,34.82,34.82,000,32.863248
2015-01-13,34.82,34.82,34.82,34.82,400,32.542354
2015-01-12,35.25,35.25,34.799999,35.25,1500,32.944228
2015-01-09,35.049999,35.299999,35.00,35.00,1600,32.710581
2015-01-08,35.25,35.349998,35.25,35.299999,6500,32.990956
2015-01-07,35.049999,35.299999,35.049999,35.299999,500,32.990956
2015-01-06,35.400002,35.400002,35.400002,35.400002,1000,33.084417
2015-01-05,35.18,35.18,35.18,35.18,000,32.878807
2015-01-02,35.18,35.18,35.18,35.18,000,32.878807
2014-12-31,35.18,35.18,35.18,35.18,000,32.878807
2014-12-30,35.18,35.18,35.18,35.18,000,32.878807
2014-12-29,35.18,35.18,35.18,35.18,000,32.878807
2014-12-26,35.18,35.18,35.18,35.18,000,32.878807
2014-12-24,35.18,35.18,35.18,35.18,000,32.878807
2014-12-23,35.18,35.18,35.18,35.18,500,32.878807
2014-12-22,35.209999,35.209999,35.209999,35.209999,000,32.906843
2014-12-19,35.939999,35.939999,35.00,35.209999,1800,32.906843
2014-12-18,35.950001,35.950001,35.950001,35.950001,000,33.59844
2014-12-17,35.150002,35.950001,35.150002,35.950001,9800,33.59844
2014-12-16,34.900002,34.900002,34.75,34.75,1000,32.476934
2014-12-15,35.50,35.50,34.75,35.25,1300,32.944228
2014-12-12,35.400002,35.50,34.75,35.299999,4600,32.990956
2014-12-11,35.50,35.50,35.50,35.50,000,33.177875
2014-12-10,35.50,35.50,35.50,35.50,000,33.177875
2014-12-09,35.50,35.50,35.50,35.50,4200,33.177875
2014-12-08,36.00,36.00,36.00,36.00,000,33.645169
2014-12-05,36.00,36.00,36.00,36.00,000,33.645169
2014-12-04,36.00,36.00,36.00,36.00,000,33.645169
2014-12-03,36.00,36.00,36.00,36.00,100,33.645169
2014-12-02,35.860001,35.860001,35.860001,35.860001,000,33.514327
2014-12-01,35.860001,35.860001,35.860001,35.860001,600,33.514327
2014-11-28,37.00,38.00,36.00,36.00,700,33.645169
2014-11-26,35.599998,35.599998,35.599998,35.599998,000,33.271332
2014-11-25,35.900002,35.900002,35.599998,35.599998,700,33.271332
2014-11-24,35.310001,35.310001,35.310001,35.310001,000,33.000304
2014-11-21,35.310001,35.310001,35.310001,35.310001,000,33.000304
2014-11-20,35.310001,35.310001,35.310001,35.310001,400,33.000304
2014-11-19,36.00,36.00,35.509998,35.509998,700,33.187219
2014-11-18,35.950001,36.00,35.950001,36.00,600,33.645169
2014-11-17,35.950001,35.950001,35.950001,35.950001,100,33.59844
2014-11-14,35.75,35.950001,35.00,35.950001,9800,33.59844
2014-11-13,34.950001,35.75,34.799999,35.75,8000,33.411522
2014-11-12,34.700001,35.099998,34.700001,35.099998,2300,32.804038
2014-11-11,35.00,35.00,35.00,35.00,000,32.710581
2014-11-10,35.00,35.00,35.00,35.00,200,32.710581
2014-11-07,34.599998,35.099998,34.599998,35.00,12200,32.710581
2014-11-06,34.639999,34.639999,34.639999,34.639999,100,32.374128
2014-11-05,34.900002,34.900002,34.900002,34.900002,000,32.617123
2014-11-04,34.810001,34.900002,34.810001,34.900002,400,32.617123
2014-11-03,34.900002,34.900002,34.900002,34.900002,000,32.617123
2014-10-31,34.75,35.00,34.75,34.900002,3200,32.617123
2014-10-30,34.18,34.75,34.18,34.18,300,31.944219
2014-10-29,34.549999,34.650002,34.549999,34.650002,500,32.383476
2014-10-28,34.299999,34.299999,34.299999,34.299999,000,32.056368
2014-10-27,34.299999,34.299999,34.299999,34.299999,200,32.056368
2014-10-24,34.25,34.25,34.169998,34.169998,500,31.934871
2014-10-23,34.09,34.09,34.09,34.09,000,31.860106
2014-10-22,34.060001,34.09,34.060001,34.09,1400,31.860106
2014-10-21,34.110001,34.110001,34.110001,34.110001,000,31.878798
2014-10-20,34.150002,34.150002,34.110001,34.110001,200,31.878798
2014-10-17,34.25,34.25,34.049999,34.049999,500,31.822721
2014-10-16,34.400002,34.400002,34.400002,34.400002,100,32.149829
2014-10-15,34.369999,34.369999,34.299999,34.299999,900,32.056368
2014-10-14,34.75,34.75,34.75,34.75,000,32.168519
2014-10-13,34.75,34.75,34.75,34.75,000,32.168519
2014-10-10,34.75,34.75,34.75,34.75,900,32.168519
